user_id,age_range,gender,state,city,phone_price_range,phone_model,language,request_id,id_md5,timestamp,device_type,network_type,has_request
U_255009,45-54,f,TN,Chennai,mid,SamsungS23,Hindi,REQ_000000,feb8fd57cf7dfd8c8fea2df131caf0ac,47:49.5,,4G,1
U_75154,18-24,m,,Lucknow,,Pixel8,Hindi,REQ_000001,53bf7b375fbcfad894a94ff38cfe2446,17:23.5,Mobile,4G,1
U_423515,45-54,FEMALE,,Delhi,mid,SamsungS23,Hindi,REQ_000002,205ccba72642c9f1c9950b2ae8068ed5,01:20.5,Tablet,WiFi,1
U_483750,25-34,MALE,,,low,Pixel8,English,REQ_000003,ae48eab45fa84c9fee02be9794fcef07,46:36.5,,5G,1
U_115588,25-34,MALE,MH,Chennai,,SamsungS23,English,REQ_000004,e916a8d52f366af05bf1406427521829,01:25.5,,5G,1
U_65373,18-24,MALE,,Delhi,mid,SamsungS23,Telugu,REQ_000005,8cda375985c68497aeb0c5755c3bded0,24:20.5,,4G,1
U_222255,18-24,m,DL,Bangalore,low,RedmiNote,Telugu,REQ_000006,1ca168477c495af82d3fef88ba633952,01:39.5,,4G,1
U_435949,below_18,MALE,ka,Chennai,mid,RedmiNote,Hindi,REQ_000007,35f4b7137850b4c46a98b4c1923781b5,47:06.5,Mobile,4G,1
U_130990,25-34,,UP,,,SamsungS23,Telugu,REQ_000008,a2cf6f1de9c98c9ef14876c72f253558,16:25.5,Mobile,WiFi,1
U_165524,35-44,,ka,,,Pixel8,Hindi,REQ_000009,c3c455dff11f61cf457e7dd9a6afc552,23:24.5,Mobile,4G,1
U_459549,55+,,MH,Mumbai,,RedmiNote,English,REQ_000010,5dc3a69da091b3b5edc0835a499bdf2a,16:24.5,Mobile,4G,1
U_191411,,m,DL,Delhi,mid,RedmiNote,Tamil,REQ_000011,8be9983f0c8dc419ed7906da0d3ce4f8,58:28.5,,4G,1
U_319086,35-44,m,DL,Bangalore,,SamsungS23,Telugu,REQ_000012,1c9f4b5f98292e2fa60b595fc5dcc44d,16:52.5,,4G,1
U_156506,35-44,FEMALE,UP,,high,Pixel8,Hindi,REQ_000013,4351291b7446b565c95d40ceda07063a,02:04.5,Mobile,5G,1
U_216632,,m,KA,,low,Pixel8,Telugu,REQ_000014,1d03c53fd23df121fbee1ff5d7e61f5b,34:46.5,Tablet,WiFi,1
U_316134,18-24,FEMALE,,Bangalore,high,Pixel8,Hindi,REQ_000015,65aeee0201d6c6fac6a1fa851eec26d9,54:20.5,,4G,1
U_28236,18-24,m,MH,Mumbai,low,iPhone15,Tamil,REQ_000016,a0836c42e34425746bd88d12611b2fb1,13:08.5,,4G,1
U_361888,18-24,f,UP,Lucknow,high,RedmiNote,Hindi,REQ_000017,b50fd56ca823b5e56474a9788e7f137d,18:32.5,,4G,1
U_272398,35-44,,TN,Lucknow,low,SamsungS23,English,REQ_000018,7918afbfee3cfdebc114edc5e3d2d4c0,54:00.5,Mobile,WiFi,1
U_54507,18-24,FEMALE,TN,Mumbai,high,SamsungS23,Telugu,REQ_000019,03adde38b82f9ec4cb6c8f43ebec2fbc,45:39.5,Mobile,4G,1
U_47585,25-34,f,DL,Chennai,mid,SamsungS23,Telugu,REQ_000020,31f28a4a782f0a76f9ceda5ba9b8b1cb,27:55.5,Mobile,5G,1
U_399602,55+,MALE,TN,Delhi,low,RedmiNote,Tamil,REQ_000021,f7fb2c30262bbc3b2f338b1de3b66400,03:14.5,,WiFi,1
U_66314,18-24,f,TN,Mumbai,,Pixel8,English,REQ_000022,4c1a8dc17cd39ec63bca40b24604c899,35:16.5,Mobile,4G,1
U_433279,below_18,MALE,,Delhi,,RedmiNote,Telugu,REQ_000023,dce48ed5777c0a9cdc89259830e8b037,34:40.5,Mobile,WiFi,1
U_208401,45-54,f,UP,Bangalore,,RedmiNote,English,REQ_000024,a77753c5994bb678daa71347dfd1fb23,41:25.5,Mobile,5G,1
U_85605,18-24,f,TN,Delhi,low,Pixel8,Tamil,REQ_000025,5f696781ee6b287ee81b8cd0545de660,25:47.5,Tablet,WiFi,1
U_415963,below_18,,,Lucknow,mid,iPhone15,English,REQ_000026,367e28383b90ae39f7fcd042ea44e2fa,56:23.5,Tablet,5G,1
U_61264,below_18,f,DL,Lucknow,mid,Pixel8,Tamil,REQ_000027,c3352164744cc8ed607e558f83ee0078,51:08.5,Mobile,5G,1
U_295635,45-54,f,KA,Mumbai,,SamsungS23,Tamil,REQ_000028,8d4194d13c01bb3a7e9482538a24a659,57:47.5,,4G,1
U_314044,,f,TN,Bangalore,,iPhone15,Tamil,REQ_000029,bfbe3d8361935118e89c0f5240a0ffd3,48:23.5,,4G,1
U_411441,25-34,FEMALE,KA,Chennai,low,SamsungS23,Telugu,REQ_000030,33159d1afff1a3338176ba0063a6f0b8,47:19.5,,5G,1
U_87333,18-24,MALE,DL,Mumbai,high,Pixel8,Hindi,REQ_000031,5198729b8da2f3a6b7fd256764a0f782,35:54.5,Tablet,4G,1
U_360255,55+,,UP,Bangalore,high,iPhone15,Tamil,REQ_000032,07b929d6a499726e5b65ee25bf237955,03:59.5,Mobile,WiFi,1
U_468822,,MALE,TN,Delhi,,Pixel8,Tamil,REQ_000033,b3cf85b01c122f575f17047689b8f33c,35:46.5,Tablet,4G,1
U_78427,35-44,,ka,Chennai,,iPhone15,English,REQ_000034,21baa81faf844a0c8f49c1a15c1b589a,32:15.5,Mobile,WiFi,1
U_247058,55+,FEMALE,ka,Bangalore,,iPhone15,Telugu,REQ_000035,5aebd693329cd733149a183c568cef33,28:46.5,Tablet,5G,1
U_326558,25-34,MALE,DL,Chennai,low,iPhone15,Telugu,REQ_000036,9b23fa270044fdf1441b1fa3d7822b1a,49:22.5,Tablet,4G,1
U_353509,35-44,,DL,Delhi,high,Pixel8,Telugu,REQ_000037,0732852bea18cec3ff592e2c6aaedf9f,05:19.5,Mobile,5G,1
U_13846,35-44,,TN,Delhi,mid,SamsungS23,Telugu,REQ_000038,20658c5d4644738421b71ea314ce63c8,52:09.5,Tablet,5G,1
U_335707,55+,m,UP,Mumbai,high,RedmiNote,Hindi,REQ_000039,211a83cf42c5b94d01be8a025de8d0cf,13:22.5,,5G,1
U_427765,25-34,MALE,ka,Chennai,high,SamsungS23,Tamil,REQ_000040,42a347267cfe99f9df75e6215e0ccecc,38:37.5,Mobile,5G,1
U_424493,25-34,MALE,ka,Delhi,,iPhone15,English,REQ_000041,b5538dc806caeb9fc17a9b2b25a4913f,09:21.5,Mobile,5G,1
U_488858,,,,Bangalore,high,RedmiNote,Hindi,REQ_000042,218e52fb3a79d9ab844420c1526485c5,05:33.5,Mobile,WiFi,1
U_343342,35-44,m,,Chennai,,Pixel8,English,REQ_000043,c42701cd0c6c1d262d6c92801913a33d,47:17.5,Tablet,5G,1
U_77932,,MALE,MH,Lucknow,,iPhone15,Tamil,REQ_000044,a0002521cbf3da95adee626a31d0b5d9,34:12.5,,5G,1
U_456597,45-54,f,KA,Delhi,mid,iPhone15,Tamil,REQ_000045,9a7a728403540eb50a0c105de9f45360,19:53.5,,WiFi,1
U_295042,25-34,f,KA,Lucknow,low,RedmiNote,Hindi,REQ_000046,57319d67056d57e28821569ba4661717,26:23.5,Tablet,4G,1
U_202588,18-24,FEMALE,KA,Chennai,,SamsungS23,English,REQ_000047,8fc7a2975673187057ab2734b9b0c425,39:48.5,Tablet,WiFi,1
U_162061,below_18,,UP,Bangalore,high,iPhone15,Tamil,REQ_000048,7689e08950464ae73fc6ae4355ef187f,52:27.5,,WiFi,1
U_175632,25-34,FEMALE,,Chennai,high,SamsungS23,English,REQ_000049,b0d249576ee3cabf29f5d45598974b93,23:49.5,Tablet,4G,1
U_200133,35-44,f,ka,Mumbai,,Pixel8,Telugu,REQ_000050,c07ae402d8a3c0f4fef5cc45379ba2a6,58:03.5,Mobile,5G,1
U_400623,25-34,FEMALE,MH,Chennai,high,iPhone15,Telugu,REQ_000051,21507d625c68ddbc4a17d2411cd53c72,05:18.5,Mobile,5G,1
U_120905,,m,DL,Bangalore,low,Pixel8,English,REQ_000052,d6a55bec23d29de874d0e2a309e6ea04,45:53.5,Mobile,5G,1
U_309547,55+,f,DL,Chennai,mid,iPhone15,Telugu,REQ_000053,5b18abe5a16ebe88ac0a663cdc3be429,48:02.5,Tablet,4G,1
U_210755,below_18,,,,,RedmiNote,Tamil,REQ_000054,4a68a2f6f3b24123bb2deb52d4e08232,35:55.5,Mobile,5G,1
U_40919,35-44,FEMALE,ka,,high,Pixel8,Hindi,REQ_000055,f42cd7a70f59176202cb697089fedf67,26:34.5,Mobile,WiFi,1
U_302026,55+,FEMALE,ka,Chennai,low,SamsungS23,Telugu,REQ_000056,0f5e3ebcba7d81d0e49831b1eaf8a7a6,43:35.5,Mobile,5G,1
U_40030,below_18,MALE,TN,Chennai,high,iPhone15,Tamil,REQ_000057,74bcb12fcd3f79bfd5256c1bb8aa03a8,21:21.5,Tablet,WiFi,1
U_173751,25-34,f,DL,Bangalore,mid,SamsungS23,Tamil,REQ_000058,66d85979d0e07000611e3df372311a95,42:33.5,Mobile,5G,1
U_63296,18-24,m,ka,Chennai,mid,SamsungS23,Telugu,REQ_000059,ab9ccecc640872f42f87dd6286d403bc,06:06.5,Tablet,4G,1
U_434683,35-44,,MH,Delhi,mid,SamsungS23,Hindi,REQ_000060,252331b28c8c979c32c636fd971a3f55,36:52.5,,5G,1
U_323431,18-24,m,KA,Delhi,high,RedmiNote,English,REQ_000061,dfc2943bdc8cc6a8fb95d6719af320d6,31:00.5,Mobile,4G,1
U_406266,25-34,MALE,MH,Mumbai,high,SamsungS23,English,REQ_000062,ab0a2767940c4256b24ee3d3880f483f,05:53.5,,5G,1
U_19756,45-54,FEMALE,UP,Delhi,mid,RedmiNote,Telugu,REQ_000063,bdaeda810068f23fcb437b7924261991,47:10.5,Mobile,WiFi,1
U_270253,55+,m,ka,Delhi,mid,SamsungS23,Tamil,REQ_000064,3b7cb424d8ce1be452e8d3765069cfca,45:37.5,Mobile,4G,1
U_426590,,f,UP,Bangalore,mid,SamsungS23,English,REQ_000065,a673e41dbb0e2c8c20e27738196b9b8a,06:09.5,Tablet,5G,1
U_77070,25-34,MALE,MH,Lucknow,low,RedmiNote,Telugu,REQ_000066,8e3832400fcbbfac5f99e5bf1ead3ba2,17:02.5,Tablet,4G,1
U_147862,25-34,MALE,UP,Mumbai,mid,Pixel8,English,REQ_000067,0b219439af1ef335de7c308e4657c400,07:49.5,,5G,1
U_263351,45-54,MALE,TN,,,iPhone15,Hindi,REQ_000068,83119f11ba2a71d94d7e600e75082beb,39:42.5,Tablet,4G,1
U_492935,55+,m,TN,Delhi,high,Pixel8,Hindi,REQ_000069,df3667d5fd909b55220f79d6b521715b,12:57.5,,5G,1
U_417758,55+,f,MH,Lucknow,high,iPhone15,Telugu,REQ_000070,a1a19c9b83549856d208c7e81f1a2ade,59:22.5,Tablet,4G,1
U_15602,below_18,,MH,Lucknow,high,RedmiNote,English,REQ_000071,3152f69660117e9dbc198084fee686eb,04:48.5,,WiFi,1
U_66169,35-44,FEMALE,TN,Delhi,mid,iPhone15,Hindi,REQ_000072,e580d608de7be228f6e1eeb918d501fb,50:12.5,,WiFi,1
U_334902,18-24,f,TN,Delhi,,RedmiNote,English,REQ_000073,498639499ea8e00f5e7c93658b532996,49:03.5,Mobile,4G,1
U_434500,25-34,f,MH,Mumbai,,RedmiNote,Telugu,REQ_000074,21c7e4e23647994ab04378990d89eda3,11:56.5,Tablet,4G,1
U_367928,55+,f,TN,,low,RedmiNote,English,REQ_000075,d5b2210b785856d31b77a4145bf4deb6,44:41.5,,WiFi,1
U_362482,18-24,,DL,Mumbai,high,Pixel8,English,REQ_000076,999d9dcd11369f6f0867de48bc9dbf35,39:30.5,Tablet,5G,1
